"x","y","h15ptot"
536850,153450,27
536850,152050,68
536850,152550,62
537950,157350,3
537950,151750,79
536950,153750,30
537250,153950,107
537350,153150,126
537750,156650,6
537750,165950,3
538050,156350,11
537750,162650,12
538150,151650,112
537050,152150,122
537050,152250,64
537050,161650,7
537850,153650,145
538050,155450,14
537150,153350,107
537150,153050,40
537950,151250,94
537650,155150,4
538150,154350,105
537250,153850,82
536550,151950,3
536550,152750,3
533350,154650,43
533750,154450,72
533750,152050,9
533750,156950,18
533450,156850,3
533450,160650,3
533450,170650,25
533750,153150,29
534850,168550,3
535250,156350,6
535350,154850,23
535850,157950,3
535850,157650,71
534850,154950,45
534850,168650,5
534950,154550,13
536150,158950,3
536150,154450,24
536150,153250,152
536150,170450,5
534950,152750,3
535450,152850,11
535850,153750,249
535050,154650,8
535050,155550,5
535050,155450,5
534450,162250,6
536150,152550,41
535550,159150,3
535950,167550,3
534650,154750,10
535650,157250,3
534750,160050,3
533450,160850,8
539950,155050,40
539950,155150,10
540050,152750,29
540150,153850,64
540650,165450,13
540650,151250,47
540650,154450,39
541850,152850,15
541850,152050,13
540850,151850,7
540850,152950,14
541250,156350,4
541250,162850,4
541750,151150,6
540550,165450,12
541450,150950,3
541750,156450,7
541050,154750,14
542050,150950,13
542050,151250,4
542050,152450,6
541750,165750,3
539750,154850,13
539750,151450,8
540050,163150,5
540150,151450,42
539950,160550,3
538250,152150,77
538350,152950,82
538450,155350,13
538550,165650,39
538650,151250,38
539450,151450,11
539150,152950,23
539150,154250,6
539650,166750,3
539650,152350,23
539250,153550,28
539550,154450,6
538950,165550,5
539250,152150,18
539550,152150,15
539550,153550,15
539550,151150,47
538750,167950,5
538750,152150,27
539050,154650,129
539050,167350,3
539050,152750,54
539550,151650,66
538850,159450,12
539350,151250,15
539650,157250,3
538850,165950,16
539050,167250,10
539350,153950,50
539350,152550,11
539350,160950,3
539150,160050,35
539650,152750,24
538850,154850,3
539150,161050,26
538350,151250,19
538350,167750,3
546750,149050,7
546750,149250,9
547350,160850,3
547350,161850,3
547450,158650,6
546750,155550,3
547650,161250,4
549950,166550,3
547850,154250,5
548650,154650,32
548650,154550,27
548650,149850,7
549350,166250,3
550150,159750,9
